<s>,START 1.0
तैयारियों,N_NN 4.468474909513383e-05
गंगातट,N_NN 1.1171187273783458e-05
छोटा,N_NN 1.1171187273783458e-05
उसकी,JJ 0.00012866700977869275
सफेदी,N_NN 2.2342374547566916e-05
गृहस्थी,N_NN 5.5855936368917286e-05
सैकड़ों,N_NN 1.1171187273783458e-05
करनी,V_VAUX 7.393715341959335e-05
कतरब्योंत,N_NN 1.1171187273783458e-05
आधो,N_NN 1.1171187273783458e-05
पाईपाई,N_NN 1.1171187273783458e-05
तैयार,V_VAUX 7.393715341959335e-05
प्रयाग,N_NN 1.1171187273783458e-05
स्नान,N_NN 4.468474909513383e-05
माघ,N_NN 1.1171187273783458e-05
सुप्रबंध,N_NN 1.1171187273783458e-05
रेणुकादेवी,N_NN 3.351356182135037e-05
चकित,V_VM 9.760858955588091e-05
कहाक्या,N_NN 1.1171187273783458e-05
इनाम,N_NN 0.00011171187273783457
झेंपते,V_VM 9.760858955588091e-05
कहाजब,N_NN 2.2342374547566916e-05
लूंगा,N_NN 2.2342374547566916e-05
वृध्दा,N_NN 4.468474909513383e-05
लोकमत,N_NN 2.2342374547566916e-05
तप,N_NN 3.351356182135037e-05
रेणुका,N_NN 0.00020108137092810223
स्वांग,N_NN 3.351356182135037e-05
किंतु,CCD 0.0014641288433382138
सैरतमाशे,N_NN 2.2342374547566916e-05
चटनी,N_NN 1.1171187273783458e-05
अचार,N_NN 2.2342374547566916e-05
क्षुधा,N_NN 1.1171187273783458e-05
टिक,N_NN 1.1171187273783458e-05
पशुप्रेम,N_NN 2.2342374547566916e-05
पशुपक्षियों,N_NN 3.351356182135037e-05
चिड़ियाघर,N_NN 1.1171187273783458e-05
लाई,N_NN 3.351356182135037e-05
तोते,N_NN 1.1171187273783458e-05
मैने,N_NN 1.1171187273783458e-05
बंदर,N_NN 1.1171187273783458e-05
हिरन,N_NN 1.1171187273783458e-05
मोर,N_NN 2.2342374547566916e-05
कुत्तो,N_NN 1.1171187273783458e-05
पाल,N_NN 1.1171187273783458e-05
सुखदुख,N_NN 2.2342374547566916e-05
सार्थकता,N_NN 1.1171187273783458e-05
हरएक,N_NN 1.1171187273783458e-05
नुमायशी,N_NN 1.1171187273783458e-05
व्शनेबल,N_NN 1.1171187273783458e-05
मनोरंजक,JJ 0.00038600102933607824
बसती,V_VM 4.8804294777940456e-05
खेलाती,V_VM 4.8804294777940456e-05
नातीपोते,N_NN 1.1171187273783458e-05
ये,JJ 0.0002573340195573855
पशु,N_NN 0.00011171187273783457
इशारे,N_NN 3.351356182135037e-05
कहातुझे,N_NN 1.1171187273783458e-05
प्यारी,JJ 0.00038600102933607824
गईसुखदा,N_NN 1.1171187273783458e-05
बापबेटे,N_NN 1.1171187273783458e-05
खटका,N_NN 1.1171187273783458e-05
कुएं,N_NN 7.819831091648421e-05
ढकेल,V_VM 4.8804294777940456e-05
कहूं,N_NN 4.468474909513383e-05
बोलींमैंने,V_VM 4.8804294777940456e-05
घरवर,N_NN 1.1171187273783458e-05
पटती,V_VM 4.8804294777940456e-05
हैसुखदा,N_NN 2.2342374547566916e-05
झुकाकर,N_NN 1.1171187273783458e-05
बोलीउन्हें,N_NN 1.1171187273783458e-05
सभाओं,N_NN 2.2342374547566916e-05
रूपवती,N_NN 1.1171187273783458e-05
सीधेसादे,JJ 0.00012866700977869275
छोकरे,N_NN 1.1171187273783458e-05
सकी,N_NN 2.2342374547566916e-05
चालचलन,N_NN 1.1171187273783458e-05
दुर्वासना,N_NN 1.1171187273783458e-05
निश्चयात्मक,JJ 0.00012866700977869275
नारीत्व,N_NN 2.2342374547566916e-05
धब्बा,N_NN 1.1171187273783458e-05
जानूं,N_NN 1.1171187273783458e-05
देते,N_NN 3.351356182135037e-05
चाहूं,N_NN 1.1171187273783458e-05
रहूं,N_NN 1.1171187273783458e-05
पूछातू,N_NN 1.1171187273783458e-05
पूछती,V_VM 4.8804294777940456e-05
बनाकर,N_NN 1.1171187273783458e-05
खिलाती,V_VM 4.8804294777940456e-05
डालती,V_VM 0.00019521717911176182
ताड़ना,V_VM 4.8804294777940456e-05
दीबेटी,V_VAUX 7.393715341959335e-05
मानना,N_NN 1.1171187273783458e-05
दीखता,V_VM 4.8804294777940456e-05
तेरे,JJ 0.00012866700977869275
मुग्धा,N_NN 1.1171187273783458e-05
रगड़ेगा,N_NN 1.1171187273783458e-05
टिकाऊ,JJ 0.00012866700977869275
तनी,V_VM 4.8804294777940456e-05
विमाता,JJ 0.00012866700977869275
डाइन,N_NN 1.1171187273783458e-05
चिंताभार,N_NN 1.1171187273783458e-05
पोला,N_NN 1.1171187273783458e-05
बोया,V_VM 4.8804294777940456e-05
चिढ़कर,N_NN 1.1171187273783458e-05
बोलीवह,N_NN 1.1171187273783458e-05
तपस्विनी,N_NN 1.1171187273783458e-05
रूखासूखा,N_NN 1.1171187273783458e-05
खाऊं,N_NN 1.1171187273783458e-05
मोटाझोटा,N_NN 1.1171187273783458e-05
पहनूं,V_VM 4.8804294777940456e-05
मजूरी,N_NN 7.819831091648421e-05
आरामतकलीफ,N_NN 1.1171187273783458e-05
जोहूंगी,V_VM 4.8804294777940456e-05
चितवनों,N_NN 1.1171187273783458e-05
बोलीऔर,N_NN 1.1171187273783458e-05
दीवाला,N_NN 1.1171187273783458e-05
पिट,N_NN 2.2342374547566916e-05
जाएसुखदा,N_NN 1.1171187273783458e-05
विमूढ़,N_NN 1.1171187273783458e-05
बोलीदीवाला,N_NN 1.1171187273783458e-05
पिटने,V_VM 4.8804294777940456e-05
लगाऐसा,V_VAUX 7.393715341959335e-05
सकीतुम्हारे,V_VAUX 7.393715341959335e-05
झुंझलाकर,V_VM 4.8804294777940456e-05
बोलीजब,N_NN 1.1171187273783458e-05
जानबूझकर,N_NN 1.1171187273783458e-05
कूदा,V_VM 4.8804294777940456e-05
वारिस,N_NN 1.1171187273783458e-05
शमन,V_VM 4.8804294777940456e-05
विह्नल,N_NN 1.1171187273783458e-05
पांचअमरकान्त,N_NN 1.1171187273783458e-05
अवसान,N_NN 1.1171187273783458e-05
धाुंधालीसी,JJ 0.00012866700977869275
इसीलिए,N_NN 2.2342374547566916e-05
अत्यंत,INTF 0.006493506493506494
मनोहर,JJ 0.00012866700977869275
स्मृतियां,N_NN 1.1171187273783458e-05
बालरूदन,N_NN 1.1171187273783458e-05
गोद,N_NN 0.00017873899638053532
रोनाधोना,V_VM 4.8804294777940456e-05
ममताभरी,N_NN 1.1171187273783458e-05
छिपाकर,V_VM 4.8804294777940456e-05
दैवीसुख,N_NN 1.1171187273783458e-05
नहींनहीं,N_NN 1.1171187273783458e-05
पकड़कर,N_NN 3.351356182135037e-05
मिठाइयां,N_NN 1.1171187273783458e-05
इंकार,N_NN 1.1171187273783458e-05
बनता,V_VAUX 7.393715341959335e-05
देखता,N_NN 1.1171187273783458e-05
पका,V_VM 4.8804294777940456e-05
खिलाकर,N_NN 1.1171187273783458e-05
श्रध्दा,N_NN 1.1171187273783458e-05
लहरसी,JJ 0.00012866700977869275
उठने,N_NN 1.1171187273783458e-05
बाट,N_NN 1.1171187273783458e-05
जोहती,V_VM 4.8804294777940456e-05
प्रात:,N_NN 1.1171187273783458e-05
मात्स्नेह,N_NN 1.1171187273783458e-05
त़प्ति,N_NN 1.1171187273783458e-05
छुट़टियों,N_NN 2.2342374547566916e-05
रहता,N_NN 1.1171187273783458e-05
क्रीड़ा,N_NN 1.1171187273783458e-05
विलासिता,N_NN 2.2342374547566916e-05
उतना,QTF 0.0021810250817884407
दसवेंपांचवें,QTO 0.009433962264150943
दसबीस,QTC 0.002881844380403458
नएनए,JJ 0.0002573340195573855
आए,N_NN 5.5855936368917286e-05
साइकिल,N_NN 3.351356182135037e-05
पांच,N_NN 1.1171187273783458e-05
द्रोही,N_NN 1.1171187273783458e-05
उपासक,N_NN 1.1171187273783458e-05
अच्छाखास,N_NN 1.1171187273783458e-05
रईसजादा,N_NN 1.1171187273783458e-05
रईसजादों,N_NN 1.1171187273783458e-05
निद्वऊद्व,N_NN 1.1171187273783458e-05
स्वार्थी,N_NN 3.351356182135037e-05
खाता,N_NN 3.351356182135037e-05
खिलाता,V_VM 4.8804294777940456e-05
अधययनशीलता,V_VM 4.8804294777940456e-05
चौसर,N_NN 1.1171187273783458e-05
आता,N_NN 1.1171187273783458e-05
कीर्तिलाभ,N_NN 1.1171187273783458e-05
परिमार्जित,N_NN 1.1171187273783458e-05
सामयिक,N_NN 2.2342374547566916e-05
पढ़वाकर,V_VM 4.8804294777940456e-05
सुनती,V_VM 4.8804294777940456e-05
मंडल,N_NN 6.702712364270074e-05
अनीति,N_NN 2.2342374547566916e-05
उसका,P 0.0035545023696682463
संस्थाएं,N_NN 1.1171187273783458e-05
कंाग्रेसकमेटी,N_NN 1.1171187273783458e-05
मेम्बर,N_NN 1.1171187273783458e-05
देहातों,N_NN 1.1171187273783458e-05
आर्थिकदशा,N_NN 1.1171187273783458e-05
जांचपड़ताल,N_NN 1.1171187273783458e-05
निकले,V_VAUX 7.393715341959335e-05
शान्तिकुमार,N_NN 8.936949819026766e-05
मंडली,N_NN 2.2342374547566916e-05
संध्‍या,N_NN 1.1171187273783458e-05
कृषकों,N_NN 1.1171187273783458e-05
निराशाजनक,N_NN 2.2342374547566916e-05
बोलातालाब,N_NN 1.1171187273783458e-05
चारपांच,N_NN 1.1171187273783458e-05
मल्लाहों,N_NN 2.2342374547566916e-05
दोएक,JJ 0.0002573340195573855
देहातियों,N_NN 1.1171187273783458e-05
बखारें,N_NN 2.2342374547566916e-05
मटके,N_NN 2.2342374547566916e-05
बोलेसभी,N_NN 1.1171187273783458e-05
कियामुझे,N_NN 1.1171187273783458e-05
अमले,N_NN 1.1171187273783458e-05
चूसते,V_VM 4.8804294777940456e-05
बेचारों,N_NN 1.1171187273783458e-05
कहादया,N_NN 1.1171187273783458e-05
हल्के,JJ 0.00012866700977869275
न्यायपरीक्षा,N_NN 1.1171187273783458e-05
पैंतीस,QTC 0.0009606147934678194
गोरेचिट्टे,N_NN 1.1171187273783458e-05
रूपवान,N_NN 4.468474909513383e-05
वेशभूषा,N_NN 1.1171187273783458e-05
नीली,JJ 0.0002573340195573855
भूरे,N_NN 2.2342374547566916e-05
आक्सफोर्ड,N_NN 1.1171187273783458e-05
लाए,N_NN 4.468474909513383e-05
कट्टर,N_NN 2.2342374547566916e-05
स्वतंत्रताप्रेम,N_NN 1.1171187273783458e-05
सहृदय,N_NN 1.1171187273783458e-05
सेवाशील,N_NN 1.1171187273783458e-05
चूकते,V_VM 0.00019521717911176182
आते,N_NN 1.1171187273783458e-05
गरजते,V_VM 4.8804294777940456e-05
करूण,N_NN 4.468474909513383e-05
भूलती,V_VAUX 7.393715341959335e-05
जमींदार,N_NN 1.1171187273783458e-05
लगान,N_NN 1.1171187273783458e-05
डिगरी,N_NN 1.1171187273783458e-05
नीलाम,N_NN 1.1171187273783458e-05
बिकवा,V_VM 4.8804294777940456e-05
अन्यायी,JJ 0.00012866700977869275
नियंता,N_NN 1.1171187273783458e-05
सलीम,V_VM 4.8804294777940456e-05
चिथड़े,N_NN 1.1171187273783458e-05
ठ्ठटठ्ठटकर,N_NN 1.1171187273783458e-05
बोलातुमने,N_NN 1.1171187273783458e-05
बुढ़िया,N_NN 0.00025693730729701953
फेरकर,V_VM 0.00014641288433382137
यों,DMD 0.006167400881057269
ऊंचे,V_VM 4.8804294777940456e-05
वृक्षों,N_NN 2.2342374547566916e-05
अंधोरा,N_NN 3.351356182135037e-05
दाहिनेबाएंनीचे,JJ 0.00012866700977869275
ऊख,N_NN 1.1171187273783458e-05
अरहर,N_NN 5.5855936368917286e-05
थोड़ीथोड़ी,N_NN 1.1171187273783458e-05
राहगीर,N_NN 1.1171187273783458e-05
दसबारह,N_NN 1.1171187273783458e-05
स्त्रीपुरुष,N_NN 1.1171187273783458e-05
सशंकित,JJ 0.00012866700977869275
दुबके,V_VM 4.8804294777940456e-05
सबकेसब,N_NN 6.702712364270074e-05
आपस,PRC 1.0
कनफुसकियां,N_NN 1.1171187273783458e-05
मेड़,N_NN 1.1171187273783458e-05
बेंत,N_NN 1.1171187273783458e-05
अकड़े,N_NN 1.1171187273783458e-05
छात्रमंडली,N_NN 1.1171187273783458e-05
कौतूहल,N_NN 1.1171187273783458e-05
माजरा,N_NN 1.1171187273783458e-05
होअचानक,N_NN 1.1171187273783458e-05
चीत्कार,N_NN 2.2342374547566916e-05
पड़ा,N_NN 3.351356182135037e-05
संभालकर,N_NN 1.1171187273783458e-05
लपका,N_NN 3.351356182135037e-05
छड़ी,N_NN 1.1171187273783458e-05
कहाभाग,N_NN 1.1171187273783458e-05
ठोकर,V_VM 0.00019521717911176182
मारेगा,N_NN 1.1171187273783458e-05
घूंसा,N_NN 2.2342374547566916e-05
मारा,N_NN 1.1171187273783458e-05
तिलमिला,N_NN 2.2342374547566916e-05
घूंसेबाजी,N_NN 1.1171187273783458e-05
मंजा,N_NN 1.1171187273783458e-05
घूंसे,N_NN 1.1171187273783458e-05
हाकीस्टिक,N_NN 1.1171187273783458e-05
जमाई,N_NN 1.1171187273783458e-05
चौंधिया,N_NN 1.1171187273783458e-05
मूर्छित,JJ 0.00012866700977869275
पीटना,V_VM 4.8804294777940456e-05
युवकों,N_NN 3.351356182135037e-05
स्टिक,N_NN 2.2342374547566916e-05
सुला,V_VM 4.8804294777940456e-05
चीरता,V_VM 4.8804294777940456e-05
तीसरा,QTO 0.02830188679245283
गोरा,N_NN 2.2342374547566916e-05
पहुंचा,V_VAUX 7.393715341959335e-05
संभलकर,V_VM 4.8804294777940456e-05
लपके,N_NN 1.1171187273783458e-05
रिवाल्वर,N_NN 4.468474909513383e-05
निकलकर,N_NN 1.1171187273783458e-05
नहों,N_NN 1.1171187273783458e-05
समाए,N_NN 1.1171187273783458e-05
गिरते,V_VM 0.00014641288433382137
देख,V_VAUX 0.0003696857670979667
संक्रामक,N_NN 1.1171187273783458e-05
लकड़ियां,N_NN 1.1171187273783458e-05
संभालकर,V_VM 9.760858955588091e-05
दौड़े,N_NN 1.1171187273783458e-05
डंडों,N_NN 2.2342374547566916e-05
जख्म,N_NN 2.2342374547566916e-05
सभी,JJ 0.0019300051466803912
तत्कालधर्म,N_NN 1.1171187273783458e-05
छिपाए,JJ 0.00012866700977869275
लंगड़ाती,N_NN 1.1171187273783458e-05
संभालती,N_NN 1.1171187273783458e-05
अबला,N_NN 1.1171187273783458e-05
लज्जावश,N_NN 1.1171187273783458e-05
सबकी,QTF 0.0010905125408942203
अमूल्य,JJ 0.0002573340195573855
दिला,V_VM 0.00019521717911176182
दुष्टों,N_NN 1.1171187273783458e-05
न्यायबुध्दि,N_NN 1.1171187273783458e-05
रोए,N_NN 1.1171187273783458e-05
फरियाद,N_NN 2.2342374547566916e-05
ताकता,N_NN 2.2342374547566916e-05
पीटने,V_VM 4.8804294777940456e-05
उन्मत्ता,N_NN 1.1171187273783458e-05
पुकाराक्या,N_NN 1.1171187273783458e-05
इंसानियत,N_NN 1.1171187273783458e-05
गिरे,N_NN 1.1171187273783458e-05
हुओं,N_NN 1.1171187273783458e-05
छोडूंगा,V_VM 4.8804294777940456e-05
जुर्रत,N_NN 1.1171187273783458e-05
मजूरों,N_NN 2.2342374547566916e-05
बोलातुम,N_NN 1.1171187273783458e-05
ताकते,V_VAUX 7.393715341959335e-05
तुममें,N_NN 1.1171187273783458e-05
गैरत,N_NN 1.1171187273783458e-05
बहूबेटियों,N_NN 1.1171187273783458e-05
आबरू,N_NN 1.1171187273783458e-05
बहूबेटी,N_NN 1.1171187273783458e-05
जितनी,P 0.005924170616113744
बहुएं,N_NN 4.468474909513383e-05
बहुएं,V_VM 4.8804294777940456e-05
मांएं,N_NN 2.2342374547566916e-05
कायरों,N_NN 1.1171187273783458e-05
आवेश,N_NN 1.1171187273783458e-05
अनाधिकार,N_NN 1.1171187273783458e-05
चुप,N_NN 4.468474909513383e-05
बैलगाड़ी,N_NN 1.1171187273783458e-05
मंगाई,N_NN 1.1171187273783458e-05
लेटा,V_VM 9.760858955588091e-05
जाओगेसलीम,N_NN 1.1171187273783458e-05
सिकोड़कर,V_VM 4.8804294777940456e-05
कहाहम,N_NN 1.1171187273783458e-05
लादकर,N_NN 1.1171187273783458e-05
खोदकर,V_VM 4.8804294777940456e-05
दफन,N_NN 1.1171187273783458e-05
लादे,V_VM 4.8804294777940456e-05
अपराधियों,N_NN 1.1171187273783458e-05
झुकाए,V_VM 0.00014641288433382137
धान्यवाद,N_NN 1.1171187273783458e-05
बजतेबजते,V_VM 9.760858955588091e-05
मिला,N_NN 5.5855936368917286e-05
गोरों,N_NN 2.2342374547566916e-05
हंसनेबोलने,V_VM 4.8804294777940456e-05
थकती,V_VM 4.8804294777940456e-05
स्टेशनमास्टर,N_NN 1.1171187273783458e-05
मुसाफिरों,N_NN 1.1171187273783458e-05
शौर्य,N_NN 6.702712364270074e-05
डींगें,N_NN 1.1171187273783458e-05
मारता,V_VM 4.8804294777940456e-05
किला,N_NN 1.1171187273783458e-05
मुकुट,N_NN 1.1171187273783458e-05
पहनाए,N_NN 1.1171187273783458e-05
खींचे,V_VM 4.8804294777940456e-05
जुलूस,N_NN 3.351356182135037e-05
भरेगी,V_VM 4.8804294777940456e-05
मनहीमन,N_NN 2.2342374547566916e-05
सिपाहीइंगलैंड,N_NN 1.1171187273783458e-05
निम्नतम,JJ 0.00012866700977869275
इनका,N_NN 3.351356182135037e-05
पराधीन,N_NN 2.2342374547566916e-05
चूं,N_NN 1.1171187273783458e-05
पराधीनता,N_NN 2.2342374547566916e-05
तोड़ना,V_VM 4.8804294777940456e-05
तोड़ने,V_VM 4.8804294777940456e-05
बंधाने,V_VM 4.8804294777940456e-05
यौवन,N_NN 3.351356182135037e-05
लड़कपन,N_NN 1.1171187273783458e-05
उग्रता,V_VM 4.8804294777940456e-05
बहक,N_NN 1.1171187273783458e-05
N%डॉ,N_NN 1.1171187273783458e-05
तांगे,N_NN 1.1171187273783458e-05
कुशल,JJ 0.0006433350488934637
कईकई,QTF 0.0010905125408942203
तबदील,N_NN 1.1171187273783458e-05
तनमन,N_NN 1.1171187273783458e-05
गईं,N_NN 2.2342374547566916e-05
सुपरिंटेंडेंट,N_NN 1.1171187273783458e-05
किसका,PRQ 0.002777777777777778
बिगड़ते,V_VM 4.8804294777940456e-05
इसलिए,V_VM 0.00014641288433382137
संदूक,N_NN 2.2342374547566916e-05
उठकर,N_NN 2.2342374547566916e-05
प्रसवकाल,N_NN 1.1171187273783458e-05
हंसतीबोलती,N_NN 1.1171187273783458e-05
दु:स्वप्न,N_NN 1.1171187273783458e-05
सशंकित,N_NN 1.1171187273783458e-05
जननसंबधी,N_NN 1.1171187273783458e-05
मंगा,N_NN 1.1171187273783458e-05
शिशु,N_NN 7.819831091648421e-05
गर्वमय,JJ 0.0002573340195573855
उल्लास,N_NN 3.351356182135037e-05
जली,V_VM 9.760858955588091e-05
तीक्ष्ण,JJ 0.00012866700977869275
नेत्रों,N_NN 0.00012288306001161803
बोलीतुम,N_NN 3.351356182135037e-05
थोड़ीसी,QTF 0.0010905125408942203
संखिया,N_NN 1.1171187273783458e-05
जाऊं,V_VAUX 0.0001478743068391867
रूपज्योति,N_NN 1.1171187273783458e-05
चमकती,V_VM 4.8804294777940456e-05
उन्मत्ता,V_VM 4.8804294777940456e-05
रोगिणी,N_NN 1.1171187273783458e-05
ज्योति,N_NN 3.351356182135037e-05
रूखे,JJ 0.00012866700977869275
केशों,N_NN 1.1171187273783458e-05
सह्य,N_NN 1.1171187273783458e-05
जोहता,N_NN 1.1171187273783458e-05
फरमाइश,N_NN 3.351356182135037e-05
तारे,N_NN 3.351356182135037e-05
तोड़,N_NN 1.1171187273783458e-05
उताई,V_VM 4.8804294777940456e-05
अच्छीअच्छी,JJ 0.00012866700977869275
सुनाकर,V_VM 4.8804294777940456e-05
थीन,V_VM 4.8804294777940456e-05
घबराकर,V_VM 4.8804294777940456e-05
बोलाऐसा,N_NN 1.1171187273783458e-05
सुखदा,V_VAUX 7.393715341959335e-05
तकिए,N_NN 1.1171187273783458e-05
कड़ीकड़ी,JJ 0.00012866700977869275
पकड़े,V_VM 4.8804294777940456e-05
डूबो,V_VAUX 7.393715341959335e-05
उल्टे,N_NN 5.5855936368917286e-05
किएकराए,V_VM 4.8804294777940456e-05
मिलाने,V_VM 9.760858955588091e-05
तुले,N_NN 1.1171187273783458e-05
हलकान,N_NN 2.2342374547566916e-05
पचड़ा,N_NN 2.2342374547566916e-05
जाओ,N_NN 4.468474909513383e-05
खुलतींअमरकान्त,N_NN 1.1171187273783458e-05
दीमैंने,V_VM 4.8804294777940456e-05
स्पीच,N_NN 2.2342374547566916e-05
लूं,N_NN 1.1171187273783458e-05
सीना,N_NN 1.1171187273783458e-05
कहाअच्छी,N_NN 1.1171187273783458e-05
पकड़ना,V_VM 4.8804294777940456e-05
प्रण,N_NN 2.2342374547566916e-05
अप्रसन्नता,N_NN 1.1171187273783458e-05
थरथर,N_NN 2.2342374547566916e-05
कांपती,V_VM 4.8804294777940456e-05
अखरती,V_VM 4.8804294777940456e-05
पांवों,N_NN 1.1171187273783458e-05
दोहरी,QTO 0.009433962264150943
हैंसमाज,N_NN 1.1171187273783458e-05
निस्सहाय,N_NN 1.1171187273783458e-05
हृदयरक्त,N_NN 2.2342374547566916e-05
पिलापिलाकर,V_VM 9.760858955588091e-05
सर्वस्व,N_NN 4.468474909513383e-05
धिक्कार,N_NN 2.2342374547566916e-05
दोनों,QTF 0.0010905125408942203
अन्याय,N_NN 6.702712364270074e-05
कल्पनाचित्र,N_NN 1.1171187273783458e-05
नवनीतसा,N_NN 1.1171187273783458e-05
कृष्ण,N_NN 5.5855936368917286e-05
मार्मिक,N_NN 5.5855936368917286e-05
उतना,V_VAUX 7.393715341959335e-05
बीड़ा,N_NN 1.1171187273783458e-05
कहाअम्मां,N_NN 1.1171187273783458e-05
कहाअम्मां,V_VAUX 7.393715341959335e-05
दूंगी,N_NN 1.1171187273783458e-05
उत्सुक,N_NN 4.468474909513383e-05
पूछातो,N_NN 1.1171187273783458e-05
होंगीनहीं,N_NN 1.1171187273783458e-05
दूंगी,V_VAUX 7.393715341959335e-05
करोगी,N_NN 1.1171187273783458e-05
बताओ,N_NN 1.1171187273783458e-05
सताया,V_VM 4.8804294777940456e-05
अपनेर्,JJ 0.00012866700977869275
कर्तव्‍य,N_NN 1.1171187273783458e-05
होशियारी,N_NN 1.1171187273783458e-05
लगाओ,V_VM 4.8804294777940456e-05
कानोंकान,N_NN 1.1171187273783458e-05
श्रध्दापूर्ण,JJ 0.00012866700977869275
सेवाभाव,N_NN 2.2342374547566916e-05
निर्भीकता,N_NN 1.1171187273783458e-05
उसने,V_VM 0.0002440214738897023
पूछातुम्हें,V_VAUX 7.393715341959335e-05
सकुचाते,V_VM 4.8804294777940456e-05
कहाअगर,N_NN 2.2342374547566916e-05
असत्य,N_NN 1.1171187273783458e-05
मिटाना,N_NN 3.351356182135037e-05
जाएअमरकान्त,N_NN 1.1171187273783458e-05
सुखदा,JJ 0.00012866700977869275
निर्मल,N_NN 1.1171187273783458e-05
देवीत्व,N_NN 1.1171187273783458e-05
प्रस्फुटित,N_NN 1.1171187273783458e-05
आलिंगन,N_NN 3.351356182135037e-05
सातअमरकान्त,N_NN 1.1171187273783458e-05
छटपटाती,V_VM 4.8804294777940456e-05
पत्रपत्रिकाओं,N_NN 2.2342374547566916e-05
जकड़,N_NN 1.1171187273783458e-05
फलस्वरूप,N_NN 1.1171187273783458e-05
असामी,N_NN 3.351356182135037e-05
पूछाभैया,V_VM 4.8804294777940456e-05
बाबूजी,N_NN 4.468474909513383e-05
थाअमर,N_NN 1.1171187273783458e-05
देखाअधोड़,N_NN 1.1171187273783458e-05
बलिष्ठ,N_NN 2.2342374547566916e-05
काला,N_NN 1.1171187273783458e-05
रूखाई,N_NN 2.2342374547566916e-05
बोलावह,N_NN 1.1171187273783458e-05
हैबड़ा,V_VM 4.8804294777940456e-05
दुर्फंधा,N_NN 1.1171187273783458e-05
होकाले,N_NN 1.1171187273783458e-05
कहाशराब,N_NN 1.1171187273783458e-05
किसे,DMQ 0.05084745762711865
मयस्सर,N_NN 2.2342374547566916e-05
रूखी,JJ 0.00012866700977869275
नातेदारी,N_NN 1.1171187273783458e-05
पिला,V_VM 9.760858955588091e-05
बोलाएक,N_NN 1.1171187273783458e-05
तोले,N_NN 3.351356182135037e-05
दोगे,N_NN 1.1171187273783458e-05
लूंगा,V_VAUX 7.393715341959335e-05
कड़े,JJ 0.0002573340195573855
कड़ाें,N_NN 1.1171187273783458e-05
पूछायह,N_NN 2.2342374547566916e-05
पाएकाले,N_NN 1.1171187273783458e-05
बेहयाई,N_NN 3.351356182135037e-05
पूछो,V_VM 0.0002440214738897023
कहाकहीं,V_VAUX 7.393715341959335e-05
चुरा,N_NN 1.1171187273783458e-05
होगेकाले,N_NN 1.1171187273783458e-05
हंसाचोरी,N_NN 1.1171187273783458e-05
हीला,N_NN 1.1171187273783458e-05
लाता,V_VAUX 7.393715341959335e-05
सबको,QTF 0.003271537622682661
निकलो,V_VM 4.8804294777940456e-05
रुपये,V_VAUX 7.393715341959335e-05
पगड़ी,N_NN 2.2342374547566916e-05
रोएं,N_NN 1.1171187273783458e-05
इत्तिला,N_NN 1.1171187273783458e-05
आना,N_NN 1.1171187273783458e-05
काले,N_NN 7.819831091648421e-05
बोलायह,N_NN 2.2342374547566916e-05
हूंगा,N_NN 1.1171187273783458e-05
अंगनू,N_NN 1.1171187273783458e-05
हींगन,N_NN 1.1171187273783458e-05
कांटा,N_NN 1.1171187273783458e-05
तौल,N_NN 2.2342374547566916e-05
जजमानी,N_NN 1.1171187273783458e-05
दौड़ते,V_VM 4.8804294777940456e-05
फिरेंअमर,N_NN 1.1171187273783458e-05
कहामैंने,N_NN 1.1171187273783458e-05
पछताओगे,N_NN 1.1171187273783458e-05
खड़ेखड़े,RB 0.00055005500550055
ढ़ाई,N_NN 1.1171187273783458e-05
लोगे,N_NN 1.1171187273783458e-05
लूंगा,V_VM 4.8804294777940456e-05
धोले,N_NN 1.1171187273783458e-05
खासे,N_NN 1.1171187273783458e-05
मोटेताजे,N_NN 1.1171187273783458e-05
उड़ाकर,V_VM 4.8804294777940456e-05
आकबत,N_NN 1.1171187273783458e-05
खराब,N_NN 1.1171187273783458e-05
सुन,V_VM 0.0004880429477794046
बोलातो,N_NN 2.2342374547566916e-05
हैनहीं,V_VAUX 7.393715341959335e-05
बोलाअच्छा,N_NN 1.1171187273783458e-05
धाक्का,N_NN 1.1171187273783458e-05
कहानिकल,N_NN 1.1171187273783458e-05
हैकाले,V_VAUX 7.393715341959335e-05
झाडू,N_NN 4.468474909513383e-05
अगरबत्ती,N_NN 1.1171187273783458e-05
दुर्गंधा,N_NN 2.2342374547566916e-05
अभक्ति,N_NN 1.1171187273783458e-05
दूषित,N_NN 1.1171187273783458e-05
हथकंडों,N_NN 1.1171187273783458e-05
कुछकुछ,QTF 0.0010905125408942203
परिचित,N_NN 2.2342374547566916e-05
उसने,JJ 0.00012866700977869275
शास्त्रार्थ,N_NN 1.1171187273783458e-05
उसके,JJ 0.00038600102933607824
लाठी,N_NN 3.351356182135037e-05
टेकती,V_VM 9.760858955588091e-05
बोलीलाला,N_NN 2.2342374547566916e-05
हड़डियां,N_NN 1.1171187273783458e-05
जीवनयात्रा,N_NN 1.1171187273783458e-05
आएं,N_NN 4.468474909513383e-05
पिचके,V_VM 4.8804294777940456e-05
शून्य,N_NN 2.2342374547566916e-05
छाई,V_VM 4.8804294777940456e-05
बोलालालाजी,N_NN 1.1171187273783458e-05
काम,V_VM 9.760858955588091e-05
हरज,N_NN 2.2342374547566916e-05
